State/UT,Total Beds
Andaman and Nicobar Islands,2351
Andhra Pradesh,84195
Arunachal Pradesh,4942
Assam,37483
Bihar,30848
Chandigarh,4538
Chhattisgarh,23980
Dadra and Nagar Haveli,1168
Daman and Diu,543
Delhi,45064
Goa,5721
Gujarat,73895
Haryana,25749
Himachal Pradesh,21906
Jammu and Kashmir,23125
Jharkhand,18743
Karnataka,129343
Kerala,78795
Lakshadweep,559
Madhya Pradesh,67430
Maharashtra,121155
Manipur,4019
Meghalaya,9199
Mizoram,4399
Nagaland,3860
Odisha,36820
Puducherry,8045
Punjab,32142
Rajasthan,84444
Sikkim,2738
Tamil Nadu,151365
Telengana,39204
Tripura,9467
Uttar Pradesh,139205
Uttarakhand,15632
West Bengal,131295
Ladakh,23125
